Using device: cpu
Starting training...

Episode 460	Average Score (100): 78.89	Epsilon: 0.25
Episode 461	Average Score (100): 80.06	Epsilon: 0.25
Episode 462	Average Score (100): 80.57	Epsilon: 0.25
Episode 463	Average Score (100): 83.27	Epsilon: 0.25
Episode 464	Average Score (100): 83.20	Epsilon: 0.25
Episode 465	Average Score (100): 83.32	Epsilon: 0.25
Episode 466	Average Score (100): 84.26	Epsilon: 0.25
Episode 467	Average Score (100): 86.08	Epsilon: 0.25
Episode 468	Average Score (100): 83.50	Epsilon: 0.25
Episode 469	Average Score (100): 85.45	Epsilon: 0.24
Episode 470	Average Score (100): 87.36	Epsilon: 0.24
Episode 471	Average Score (100): 89.47	Epsilon: 0.24
Episode 472	Average Score (100): 92.88	Epsilon: 0.24
Episode 473	Average Score (100): 93.39	Epsilon: 0.24
Episode 474	Average Score (100): 96.69	Epsilon: 0.24
Episode 475	Average Score (100): 99.12	Epsilon: 0.24
Episode 476	Average Score (100): 100.42	Epsilon: 0.24
Episode 477	Average Score (100): 102.15	Epsilon: 0.24
