Используем устройство: cpu
Начинаем обучение... (Это может занять 10-20 минут)

Эпизод 394	Средний счет (100): 1.80	Epsilon: 0.31
Эпизод 395	Средний счет (100): 2.91	Epsilon: 0.31
Эпизод 396	Средний счет (100): 1.97	Epsilon: 0.30
Эпизод 397	Средний счет (100): 1.73	Epsilon: 0.30
Эпизод 398	Средний счет (100): 3.41	Epsilon: 0.30
Эпизод 399	Средний счет (100): 4.11	Epsilon: 0.30
Эпизод 400	Средний счет (100): 3.64	Epsilon: 0.30
Эпизод 400	Средний счет (100): 3.64

Эпизод 401	Средний счет (100): 2.20	Epsilon: 0.30
Эпизод 402	Средний счет (100): 2.44	Epsilon: 0.30
Эпизод 403	Средний счет (100): 2.76	Epsilon: 0.30
Эпизод 404	Средний счет (100): 2.01	Epsilon: 0.30
Эпизод 405	Средний счет (100): 3.77	Epsilon: 0.30
Эпизод 406	Средний счет (100): 4.73	Epsilon: 0.30
Эпизод 407	Средний счет (100): 4.16	Epsilon: 0.29
Эпизод 408	Средний счет (100): 4.82	Epsilon: 0.29
Эпизод 409	Средний счет (100): 4.84	Epsilon: 0.29
Эпизод 410	Средний счет (100): 6.71	Epsilon: 0.29
Эпизод 411	Средний счет (100): 7.24	Epsilon: 0.29
Эпизод 412	Средний счет (100): 8.81	Epsilon: 0.29
Эпизод 413	Средний счет (100): 9.76	Epsilon: 0.29
Эпизод 414	Средний счет (100): 10.97	Epsilon: 0.29
Эпизод 415	Средний счет (100): 10.01	Epsilon: 0.29
Эпизод 416	Средний счет (100): 9.01	Epsilon: 0.29
Эпизод 417	Средний счет (100): 11.72	Epsilon: 0.29
Эпизод 418	Средний счет (100): 13.90	Epsilon: 0.28
Эпизод 419	Средний счет (100): 14.38	Epsilon: 0.28
Эпизод 420	Средний счет (100): 14.46	Epsilon: 0.28
Эпизод 421	Средний счет (100): 16.31	Epsilon: 0.28
Эпизод 422	Средний счет (100): 16.09	Epsilon: 0.28
Эпизод 423	Средний счет (100): 16.97	Epsilon: 0.28
Эпизод 424	Средний счет (100): 17.01	Epsilon: 0.28
Эпизод 425	Средний счет (100): 16.41	Epsilon: 0.28
Эпизод 426	Средний счет (100): 17.92	Epsilon: 0.28
Эпизод 427	Средний счет (100): 18.22	Epsilon: 0.28
Эпизод 428	Средний счет (100): 18.70	Epsilon: 0.28
Эпизод 429	Средний счет (100): 20.11	Epsilon: 0.28
